review
"Uygulama sürekli çöküyor, ödeme sayfasında takılıp kalıyorum."
"Arayüz çok kafa karıştırıcı, ürünü sepete nasıl ekleyeceğimi bulamadım."
"Kargo çok hızlı geldi, ürün tam beklediğim gibiydi, teşekkürler!"
"Destek ekibiyle 3 gündür iletişime geçemiyorum, hiç güven vermiyor."
"Fiyatlar rakiplere göre biraz yüksek ama kalite iyi."
"Uygulamayı ilk açtığımda hangi butona basacağımı anlamadım, çok karışık."
"Harika bir deneyimdi, tekrar alışveriş yapacağım."
"Ödeme yaptım ama siparişim hâlâ görünmüyor, param gitti mi bilmiyorum, çok endişeliyim."
"Müşteri hizmetleri çok ilgiliydi, sorunumu hemen çözdüler."
"Uygulama şifremi unuttum sayfasında sürekli hata veriyor, giriş yapamıyorum."
"Ürün açıklamasıyla gelen ürün birbirini tutmuyordu, hayal kırıklığına uğradım."
"Tasarım sade ve kullanışlı, beğendim."
"İade sürecini nasıl başlatacağımı hiçbir yerde bulamadım, çok kafa karıştırıcı."
"Kredi kartı bilgilerimi girerken güvenlik uyarısı aldım, biraz tedirgin oldum."
"Her şey beklediğim gibi gitti, sorunsuz bir deneyimdi."
